
19,[0.75],[0.64]
4439,[0.82],[0.81]
4459,[0.82],[0.81]
4479,[0.82],[0.81]
4499,[0.82],[0.81]
4519,[0.82],[0.81]
4539,[0.82],[0.81]
4559,[0.82],[0.81]
4579,[0.82],[0.81]
4599,[0.82],[0.81]
4619,[0.82],[0.81]
4639,[0.82],[0.81]
4659,[0.82],[0.81]
4679,[0.82],[0.81]
4699,[0.82],[0.81]
4719,[0.82],[0.81]
4739,[0.82],[0.81]
4759,[0.82],[0.81]
4779,[0.82],[0.81]
4799,[0.82],[0.81]
4819,[0.82],[0.81]
4839,[0.82],[0.81]
4859,[0.82],[0.81]
4879,[0.82],[0.81]
4899,[0.82],[0.81]
4919,[0.82],[0.81]
4939,[0.82],[0.81]
4959,[0.82],[0.81]
4979,[0.82],[0.81]
4999,[0.82],[0.81]
