
19,[0.55],[0.49]
3919,[0.84],[0.83]
3939,[0.84],[0.83]
3959,[0.84],[0.83]
3979,[0.84],[0.83]
3999,[0.84],[0.83]
4019,[0.84],[0.83]
4039,[0.84],[0.83]
4059,[0.84],[0.83]
4079,[0.84],[0.83]
4099,[0.84],[0.84]
4119,[0.84],[0.84]
4139,[0.84],[0.84]
4159,[0.84],[0.84]
4179,[0.84],[0.84]
4199,[0.84],[0.84]
4219,[0.84],[0.84]
4239,[0.84],[0.84]
4259,[0.84],[0.84]
4279,[0.84],[0.84]
4299,[0.84],[0.84]
4319,[0.84],[0.84]
4339,[0.84],[0.84]
4359,[0.84],[0.84]
4379,[0.84],[0.84]
4399,[0.84],[0.84]
4419,[0.84],[0.84]
4439,[0.84],[0.84]
4459,[0.84],[0.84]
4479,[0.84],[0.84]
4499,[0.84],[0.84]
4519,[0.84],[0.84]
4539,[0.84],[0.84]
4559,[0.84],[0.84]
4579,[0.84],[0.84]
4599,[0.84],[0.84]
4619,[0.84],[0.84]
4639,[0.84],[0.84]
4659,[0.84],[0.84]
4679,[0.84],[0.84]
4699,[0.84],[0.84]
4719,[0.84],[0.84]
4739,[0.84],[0.84]
4759,[0.84],[0.84]
4779,[0.84],[0.84]
4799,[0.84],[0.84]
4819,[0.84],[0.84]
4839,[0.84],[0.84]
4859,[0.84],[0.84]
4879,[0.84],[0.84]
4899,[0.84],[0.84]
4919,[0.84],[0.84]
4939,[0.84],[0.84]
4959,[0.84],[0.84]
4979,[0.84],[0.84]
4999,[0.84],[0.84]
